DFF,DFR,Altitude,Draw_D,Drain_D,LS,Lineam_D,MRVBF,MRRTF,LULC,SCA,Prifile_C,Plan_C,TRI,SPI,Slope,TWI,TPI,litho_recl,geomorph_R,grid_code,well_M
0.59093,0.98681,141,2.15655,1.99543,1.12248,1.12305,0.00568,0.98004,5,10.29437,0.0055,0.10667,3.37639,75,0.08314,6.16376,6.62162,1,4,1.47,2
0.60374,0.99725,137,2.15479,1.99768,1.70148,1.12441,0.10984,0.75713,5,14.55844,-0.00143,0.01235,2.28035,134.27838,0.11731,6.13912,1.91892,1,4,1.47,2
0.61774,1.00846,134,2.15304,1.99992,0.70371,1.12576,2.93109,0.00336,5,51.7669,-0.00332,0,1.34164,121.62402,0.04996,6.52353,-1.86486,1,4,1.47,2
0.63071,1.02044,134,2.15129,2.00215,0.29784,1.1271,2.94958,0.00169,5,40.1558,-0.0025,0.01179,0.63246,67.4629,0.02357,6.63323,-2.2973,1,4,1.47,2
0.64413,1.03315,135,2.14955,2.00437,1.35708,1.12842,1.32129,0.04109,5,31.24366,-0.00392,-0.01473,2.32379,238.95805,0.10632,6.25451,-1.32432,1,4,1.47,2
0.61774,1.01514,141,2.15882,1.99629,0.28729,1.12381,2.80929,1.93745,5,10.29437,0.00583,0.22392,2.89828,21.2132,0.02357,7.43256,6,1,4,1.47,2
0.63071,1.02528,137,2.15706,1.99854,1.81506,1.12516,1.96897,0.63488,5,24.85281,-0.00109,0,2.23607,147.05327,0.11614,6.28075,1.21622,1,4,1.47,2
0.64413,1.03619,134,2.15531,2.00077,0.59358,1.12651,2.91074,0.00318,5,39.71858,-0.00249,-0.08839,1.67332,220.8965,0.04711,6.66764,-2.54054,1,4,1.47,2
0.65795,1.04786,135,2.15357,2.003,1.20372,1.12784,2.54971,0.01541,5,24.7223,-0.00343,-0.00992,2.09762,211.63228,0.09688,6.42229,-1.86486,1,4,1.47,2
0.67082,1.06024,139,2.15184,2.00522,1.70738,1.12916,0.10965,0.72798,5,14.55844,0.00261,0.02211,2.72029,157.38911,0.12944,6.05723,2.18919,1,4,1.47,2
